type,memberId,name,email,number,maxBooksAllowed,studentId,department
STU,M034,Nisa I,m034@test.com,323588,4,S3802,ME
STU,M035,Ozan J,m035@test.com,569945,4,S3802,MATH
REG,M036,Jale K,m036@test.com,298145,2,,
STU,M037,Charlie L,m037@test.com,550921,4,S6432,BUS
STU,M038,Jale M,m038@test.com,301029,4,S1055,ME
REG,M039,Ipek N,m039@test.com,804546,2,,
STU,M040,Bob O,m040@test.com,630860,4,S2693,EE
STU,M041,Charlie P,m041@test.com,778143,4,S2978,MATH
REG,M042,Lina Q,m042@test.com,741441,2,,
STU,M043,Kerem R,m043@test.com,384542,4,S5720,BIO
STU,M044,Ipek S,m044@test.com,402688,4,S4208,CS
REG,M045,Ipek T,m045@test.com,525867,2,,
STU,M046,Charlie U,m046@test.com,539850,4,S8249,CS
STU,M047,Ipek V,m047@test.com,116095,4,S4974,EE
REG,M048,Fatma W,m048@test.com,656488,2,,
STU,M049,Alice X,m049@test.com,535753,4,S6654,EE
STU,M050,Lina Y,m050@test.com,293408,4,S5786,BIO
REG,M051,Kerem Z,m051@test.com,779541,2,,
STU,M052,Jale A,m052@test.com,875100,4,S4054,ME
STU,M053,Ipek B,m053@test.com,683985,4,S4894,CS
REG,M054,Charlie C,m054@test.com,566201,2,,
STU,M055,Lina D,m055@test.com,760402,4,S5230,CS
STU,M056,Hakan E,m056@test.com,636318,4,S3297,EE
REG,M057,Hakan F,m057@test.com,570641,2,,
STU,M058,Gokhan G,m058@test.com,327125,4,S8281,BIO
STU,M059,Charlie H,m059@test.com,844759,4,S8608,BIO
REG,M060,Ipek I,m060@test.com,762174,2,,
STU,M061,Dina J,m061@test.com,785746,4,S1344,EE
STU,M062,Fatma K,m062@test.com,825616,4,S7806,CS
REG,M063,Nisa L,m063@test.com,170065,2,,
STU,M064,Pelin M,m064@test.com,169526,4,S5757,ME
STU,M065,Pelin N,m065@test.com,662148,4,S2530,BIO
REG,M066,Kerem O,m066@test.com,509254,2,,
STU,M067,Pelin P,m067@test.com,702401,4,S4990,MATH
STU,M068,Lina Q,m068@test.com,401204,4,S3713,EE
REG,M069,Lina R,m069@test.com,151324,2,,
STU,M070,Charlie S,m070@test.com,136603,4,S2673,BUS
STU,M071,Bob T,m071@test.com,524823,4,S3150,CS
REG,M072,Kerem U,m072@test.com,269995,2,,
STU,M073,Nisa V,m073@test.com,681674,4,S3819,EE
STU,M074,Fatma W,m074@test.com,724934,4,S7721,MATH
REG,M075,Mert X,m075@test.com,641471,2,,
STU,M076,Efe Y,m076@test.com,309875,4,S1468,BUS
STU,M077,Gokhan Z,m077@test.com,922051,4,S2731,ME
REG,M078,Pelin A,m078@test.com,354898,2,,
STU,M079,Nisa B,m079@test.com,829342,4,S6664,CS
STU,M080,Ozan C,m080@test.com,837230,4,S8726,MATH
REG,M081,Nisa D,m081@test.com,783775,2,,
STU,M082,Gokhan E,m082@test.com,358411,4,S4100,EE
STU,M083,Ozan F,m083@test.com,630894,4,S2310,CS
REG,M084,Jale G,m084@test.com,864527,2,,
STU,M085,Charlie H,m085@test.com,373825,4,S1848,ME
STU,M086,Alice I,m086@test.com,341336,4,S4518,ME
REG,M087,Bob J,m087@test.com,791087,2,,
STU,M088,Bob K,m088@test.com,436967,4,S2908,BIO
STU,M089,Dina L,m089@test.com,390548,4,S7337,MATH
REG,M090,Ipek M,m090@test.com,179557,2,,
STU,M091,Bob N,m091@test.com,699012,4,S1564,CS
STU,M092,Ipek O,m092@test.com,305889,4,S1044,EE
REG,M093,Jale P,m093@test.com,436282,2,,
STU,M094,Ozan Q,m094@test.com,351854,4,S4516,ME
STU,M095,Charlie R,m095@test.com,808551,4,S4794,ME
REG,M096,Lina S,m096@test.com,233543,2,,
STU,M097,Bob T,m097@test.com,565583,4,S2777,EE
STU,M098,Kerem U,m098@test.com,226443,4,S2572,ME
REG,M099,Alice V,m099@test.com,474493,2,,
STU,M100,Nisa W,m100@test.com,917089,4,S7946,EE
STU,M101,Nisa X,m101@test.com,376533,4,S4805,MATH
REG,M102,Nisa Y,m102@test.com,835678,2,,
STU,M103,Pelin Z,m103@test.com,738682,4,S1806,MATH
STU,M104,Alice A,m104@test.com,967629,4,S1373,BIO
REG,M105,Charlie B,m105@test.com,721268,2,,
STU,M106,Kerem C,m106@test.com,726375,4,S7199,BUS
STU,M107,Ozan D,m107@test.com,316262,4,S3317,MATH
REG,M108,Ozan E,m108@test.com,342790,2,,
STU,M109,Ozan F,m109@test.com,934137,4,S3451,BUS
STU,M110,Hakan G,m110@test.com,298922,4,S1078,MATH
REG,M111,Lina H,m111@test.com,505391,2,,
STU,M112,Efe I,m112@test.com,666568,4,S1446,MATH
STU,M113,Ozan J,m113@test.com,566048,4,S2907,EE
REG,M114,Ozan K,m114@test.com,167959,2,,
STU,M115,Alice L,m115@test.com,222578,4,S5372,CS
STU,M116,Efe M,m116@test.com,705276,4,S7818,MATH
REG,M117,Kerem N,m117@test.com,411809,2,,
STU,M118,Hakan O,m118@test.com,822035,4,S4319,BUS
STU,M119,Jale P,m119@test.com,450729,4,S7698,MATH
REG,M120,Lina Q,m120@test.com,142109,2,,
